asic,workload,graph_name,engine_id,engine_name,role,status,correctness_match,applicable,error_message,skip_reason
gfx942,norm,qwen3-235b__bf16_rmsnorm_fwd_idx8_N8192_C5120,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,norm,qwen3-30b-131072x128__bf16_rmsnorm_fwd_idx13_N131072_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,norm,qwen3-30b-16384x128__bf16_rmsnorm_fwd_idx14_N16384_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,norm,qwen3-30b-4096x2048__bf16_rmsnorm_fwd_idx12_N4096_C2048,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,deepseek-v3-131072x128__bf16_rmsnorm_bwd_idx10_N131072_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,deepseek-v3-2048x4096__bf16_rmsnorm_bwd_idx9_N2048_C4096,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,deepseek-v3-8192x128__bf16_rmsnorm_bwd_idx11_N8192_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,gpt3-175b__bf16_layernorm_bwd_idx4_N1024_C12288,0,unknown,engine,error,,False,Engine discovery failed: Graph validation failed: LayernormBackwardNode requires that both mean (input) and scale (input) are one-padded or that both mean (input) and scale (input) are not one-padded,
gfx950,norm,llama3-70b__bf16_rmsnorm_bwd_idx1_N8192_C8192,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,llama3-8b__bf16_rmsnorm_bwd_idx0_N16384_C4096,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,llama31-405b__bf16_rmsnorm_bwd_idx2_N4096_C16384,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,llama4-e16__bf16_rmsnorm_bwd_idx3_N8192_C5120,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,mixtral-8x22b__bf16_rmsnorm_bwd_idx6_N4096_C6144,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,mixtral-8x7b__bf16_rmsnorm_bwd_idx5_N8192_C4096,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,nemotronh-56b__bf16_rmsnorm_bwd_idx7_N4096_C8192,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,qwen3-235b__bf16_rmsnorm_bwd_idx8_N8192_C5120,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,qwen3-30b-131072x128__bf16_rmsnorm_bwd_idx13_N131072_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,qwen3-30b-16384x128__bf16_rmsnorm_bwd_idx14_N16384_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,qwen3-30b-4096x2048__bf16_rmsnorm_bwd_idx12_N4096_C2048,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,deepseek-v3-131072x128__bf16_rmsnorm_fwd_idx10_N131072_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,deepseek-v3-2048x4096__bf16_rmsnorm_fwd_idx9_N2048_C4096,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,deepseek-v3-8192x128__bf16_rmsnorm_fwd_idx11_N8192_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,gpt3-175b__bf16_layernorm_fwd_idx4_N1024_C12288,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,llama3-70b__bf16_rmsnorm_fwd_idx1_N8192_C8192,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,llama3-8b__bf16_rmsnorm_fwd_idx0_N16384_C4096,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,llama31-405b__bf16_rmsnorm_fwd_idx2_N4096_C16384,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,llama4-e16__bf16_rmsnorm_fwd_idx3_N8192_C5120,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,mixtral-8x22b__bf16_rmsnorm_fwd_idx6_N4096_C6144,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,mixtral-8x7b__bf16_rmsnorm_fwd_idx5_N8192_C4096,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,nemotronh-56b__bf16_rmsnorm_fwd_idx7_N4096_C8192,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,qwen3-235b__bf16_rmsnorm_fwd_idx8_N8192_C5120,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,qwen3-30b-131072x128__bf16_rmsnorm_fwd_idx13_N131072_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,qwen3-30b-16384x128__bf16_rmsnorm_fwd_idx14_N16384_C128,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,norm,qwen3-30b-4096x2048__bf16_rmsnorm_fwd_idx12_N4096_C2048,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
